2017/02/21 14:50:41 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2017/02/21 14:50:41 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2017/02/21 14:50:41 INFO  - jmeter.threads.JMeterThread: Thread started: UACP Visitors 1-6 
2017/02/21 14:50:41 INFO  - jmeter.threads.JMeterThread: Thread started: UACP Visitors 1-8 
2017/02/21 14:50:41 INFO  - jmeter.threads.JMeterThread: Thread started: UACP Visitors 1-9 
2017/02/21 14:50:41 INFO  - jmeter.threads.JMeterThread: Thread started: UACP Visitors 1-10 
2017/02/21 14:50:44 INFO  - jmeter.threads.JMeterThread: Stop Thread detected by thread: UACP Visitors 1-1 
2017/02/21 14:50:44 INFO  - jmeter.threads.JMeterThread: Thread is done: UACP Visitors 1-1 
2017/02/21 14:50:44 INFO  - jmeter.threads.JMeterThread: Thread finished: UACP Visitors 1-1 
2017/02/21 14:50:44 INFO  - jmeter.threads.JMeterThread: Stop Thread detected by thread: UACP Visitors 1-10 
2017/02/21 14:50:44 INFO  - jmeter.threads.JMeterThread: Stop Thread detected by thread: UACP Visitors 1-2 
2017/02/21 14:50:44 INFO  - jmeter.threads.JMeterThread: Thread is done: UACP Visitors 1-10 
2017/02/21 14:50:44 INFO  - jmeter.threads.JMeterThread: Thread finished: UACP Visitors 1-10 
2017/02/21 14:50:44 INFO  - jmeter.threads.JMeterThread: Thread is done: UACP Visitors 1-2 
2017/02/21 14:50:44 INFO  - jmeter.threads.JMeterThread: Thread finished: UACP Visitors 1-2 
2017/02/21 14:50:44 INFO  - jmeter.threads.JMeterThread: Stop Thread detected by thread: UACP Visitors 1-7 
2017/02/21 14:50:44 INFO  - jmeter.threads.JMeterThread: Stop Thread detected by thread: UACP Visitors 1-3 
2017/02/21 14:50:44 INFO  - jmeter.threads.JMeterThread: Thread is done: UACP Visitors 1-7 
2017/02/21 14:50:44 INFO  - jmeter.threads.JMeterThread: Thread finished: UACP Visitors 1-7 
2017/02/21 14:50:44 INFO  - jmeter.threads.JMeterThread: Thread is done: UACP Visitors 1-3 
2017/02/21 14:50:44 INFO  - jmeter.threads.JMeterThread: Thread finished: UACP Visitors 1-3 
2017/02/21 14:50:44 INFO  - jmeter.threads.JMeterThread: Stop Thread detected by thread: UACP Visitors 1-5 
2017/02/21 14:50:44 INFO  - jmeter.threads.JMeterThread: Thread is done: UACP Visitors 1-5 
2017/02/21 14:50:44 INFO  - jmeter.threads.JMeterThread: Thread finished: UACP Visitors 1-5 
2017/02/21 14:50:45 INFO  - jmeter.threads.JMeterThread: Stop Thread detected by thread: UACP Visitors 1-4 
2017/02/21 14:50:45 INFO  - jmeter.threads.JMeterThread: Thread is done: UACP Visitors 1-4 
2017/02/21 14:50:45 INFO  - jmeter.threads.JMeterThread: Thread finished: UACP Visitors 1-4 
2017/02/21 14:50:45 INFO  - jmeter.threads.JMeterThread: Stop Thread detected by thread: UACP Visitors 1-9 
2017/02/21 14:50:45 INFO  - jmeter.threads.JMeterThread: Thread is done: UACP Visitors 1-9 
2017/02/21 14:50:45 INFO  - jmeter.threads.JMeterThread: Thread finished: UACP Visitors 1-9 
2017/02/21 14:50:45 INFO  - jmeter.threads.JMeterThread: Stop Thread detected by thread: UACP Visitors 1-6 
2017/02/21 14:50:45 INFO  - jmeter.threads.JMeterThread: Thread is done: UACP Visitors 1-6 
2017/02/21 14:50:45 INFO  - jmeter.threads.JMeterThread: Thread finished: UACP Visitors 1-6 
2017/02/21 14:50:45 INFO  - jmeter.threads.JMeterThread: Stop Thread detected by thread: UACP Visitors 1-8 
2017/02/21 14:50:45 INFO  - jmeter.threads.JMeterThread: Thread is done: UACP Visitors 1-8 
2017/02/21 14:50:45 INFO  - jmeter.threads.JMeterThread: Thread finished: UACP Visitors 1-8 
2017/02/21 14:50:45 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2017/02/21 14:50:45 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(false,*local*) 
2017/02/21 14:52:02 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2017/02/21 14:52:02 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2017/02/21 14:52:02 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2017/02/21 14:52:02 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : UACP Visitors 
2017/02/21 14:52:02 INFO  - jmeter.engine.StandardJMeterEngine: Starting 10 threads for group UACP Visitors. 
